"Tag","Sector"
"dataflow","Computing & IT"
"Z-Pinch","Defense"
"implantable devices","Healthcare"
"body as a network","Healthcare"
"medical devices","Healthcare"
"hybrid","Transportation"
"fossil","Energy"
"Offensive Weaponry","Defense"
"software engineering curricula","Education"
"Storage Systems","Computing & IT"
"wireless spectrum","Environment"
"IEMI","Critical Infrastructure"
"animal tracking","Environment"
"surveillance","Computing & IT"
"IEMI Detectors","Critical Infrastructure"
"Prognostics and Health Management (PHM)","Defense"
"nanosensors","Environment"
"Machine Learning","Computing & IT"
"High-level Testing","Critical Infrastructure"
"QoE","Communications"
"wireless networking","Entertainment"
"software process","Computing & IT"
"evolutionary design","Transportation"
"system-of-systems","Healthcare"
"high cycling","Manufacturing & Devices"
"waveform diversity","Communications"
"Information Forensics","Defense"
"Lidar","Defense"
"energy flow simulation","Energy"
"software architecture","Computing & IT"
"Decision making","Critical Infrastructure"
"embedded intelligence","Manufacturing & Devices"
"Collaboration Technologies","Computing & IT"
"financial resources","Manufacturing & Devices"
"Sustainment of Life","Critical Infrastructure"
"Sustainment of Commerce","Critical Infrastructure"
"telemedicine","Healthcare"
"operation","Energy"
"contamination control","Manufacturing & Devices"
"gas","Energy"
"Femtocells","Communications"
"smart_grid","Energy"
"controls","Energy"
"Dealing with real world","Education"
"platforms","Communications"
"Positron Emission Tomography","Healthcare"
"volcanos","Environment"
"interconnect devices","Computing & IT"
"motor","Energy"
"avatars","Entertainment"
"user centered design","Computing & IT"
"Electromagnetic Survivability","Defense"
"physics of failure","Defense"
"VDSL","Communications"
"document image analysis","Computing & IT"
"management functions","Manufacturing & Devices"
"Survivability","Defense"
"EPON","Communications"
"noise pollution","Environment"
"commercial","Energy"
"Electronic Protect","Communications"
"XML","Computing & IT"
"control and optimization algorithm","Manufacturing & Devices"
"System Prognostics and Health Managment (SPHM)","Defense"
"human-machine interface","Healthcare"
"displays","Manufacturing & Devices"
"burst illumination","Defense"
"Fault-tolerant computing","Computing & IT"
"Meta search","Computing & IT"
"Mesoband","Critical Infrastructure"
"electronic publishing","Computing & IT"
"interception","Communications"
"EMV","Defense"
"Super computing","Computing & IT"
"ATC Radar","Defense"
"Speech","Entertainment"
"FMECA","Energy"
"scintillators","Energy"
"student outreach","Education"
"visual analytics","Computing & IT"
"Data mining","Computing & IT"
"E3","Defense"
"Banking","Financial Services"
"Platforms","Defense"
"portable power","Healthcare"
"fault isolation","Defense"
"methods","Energy"
"EM Terrorism","Critical Infrastructure"
"software requirements","Communications"
"unscheduled maintenance","Defense"
"plasma displays","Entertainment"
"rov","Defense"
"graphics recognition","Computing & IT"
"supply-side","Energy"
"metrics","Communications"
"healthcare mgmt","Healthcare"
"UML","Computing & IT"
"low dose radiation effects","Defense"
"rural healthcare","Healthcare"
"Mentoring","Education"
"generation","Energy"
"computing curricula","Education"
"Portable Applications","Computing & IT"
"single sourcing","Computing & IT"
"failure rate","Defense"
"applications","Energy"
"QoS","Communications"
"rehabilitation engineering","Healthcare"
"harmonics","Energy"
"wireless television","Communications"
"object-oriented design","Computing & IT"
"EM Weapons","Critical Infrastructure"
"Mortgage","Financial Services"
"Ultrawideband","Defense"
"infrared imaging","Defense"
"language for special purposes","Computing & IT"
"high dose-rate radiation effects","Defense"
"adhoc wireless networks","Entertainment"
"energy savings","Energy"
"DSP","Communications"
"IMS","Communications"
"Logistics","Retail"
"tutoring","Education"
"connexions","Education"
"Transactions processing","Computing & IT"
"workshops","Education"
"Autonomous","Defense"
"noise cancelling","Communications"
"instrumentation and test","Healthcare"
"pollution mitigation","Environment"
"first responders","Critical Infrastructure"
"TREE","Defense"
"data security","Healthcare"
"Image","Entertainment"
"multifunction antennas","Communications"
"Computational Intelligence","Computing & IT"
"smart highways","Transportation"
"drug delivery","Healthcare"
"customer expectations","Manufacturing & Devices"
"user analysis","Computing & IT"
"Comprehensive approach","Education"
"Safety Critical","Defense"
"education","Energy"
"FMEA","Energy"
"LTE","Communications"
"adaptive distribution","Energy"
"relaible power","Retail"
"Definition","Critical Infrastructure"
"Electromagnetic Environmental Effects (EME)","Defense"
"Data centers","Computing & IT"
"business process","Computing & IT"
"Data Mining","Retail"
"laser welding","Manufacturing & Devices"
"Computer vision","Computing & IT"
"charge balancing","Transportation"
"bubble clouds","Environment"
"design specificaiotn","Manufacturing & Devices"
"stability","Energy"
"Electromagnetic Pulse","Defense"
"LIDAR","Transportation"
"DNA sequencing","Healthcare"
"Ethics","Education"
"low voltage","Computing & IT"
"Artificial Intelligence","Defense"
"positioning for instrumentation","Manufacturing & Devices"
"Critical Infrastructure","Critical Infrastructure"
"digital libraries","Education"
"Acoustics","Defense"
"SREMP","Critical Infrastructure"
"data privacy","Healthcare"
"bioclinical monitoring","Healthcare"
"Gaseous Dielectrics","Energy"
"residential","Energy"
"metering","Energy"
"wind","Energy"
"mobile power","Transportation"
"lead-free piezoelectrics","Environment"
"policy","Energy"
"returns","Manufacturing & Devices"
"utility computing","Computing & IT"
"fault detection","Defense"
"Education","Computing & IT"
"health toys","Healthcare"
"model-based reasoning","Defense"
"Integration","Critical Infrastructure"
"Information Retrieval","Computing & IT"
"AUV's","Defense"
"Lightweight Aircraft","Defense"
"Smart Weapons","Defense"
"Gigabit Wireless Networks","Communications"
"computer bus","Communications"
"entity relationship attribute diagram","Computing & IT"
"traffic control","Transportation"
"3D integration","Manufacturing & Devices"
"DTV Transition","Entertainment"
"end_to_end QoS","Communications"
"DCSs","Manufacturing & Devices"
"Cable TV","Entertainment"
"HERF","Defense"
"industrial","Energy"
"noise anlysis","Critical Infrastructure"
"Intra-system compatibility","Communications"
"spectral management","Communications"
"pharmaceuticals","Healthcare"
"grid","Energy"
"FRACAS","Manufacturing & Devices"
"network neutrality","Communications"
"DITA","Computing & IT"
"Systems Engineering","Computing & IT"
"petrochem","Manufacturing & Devices"
"continuous process control","Manufacturing & Devices"
"line","Energy"
"energy throughput","Manufacturing & Devices"
"water","Healthcare"
"supply chain integration","Manufacturing & Devices"
"Purpose","Critical Infrastructure"
"culture","Manufacturing & Devices"
"indoor home network","Communications"
"informatics","Healthcare"
"integrated passive components","Manufacturing & Devices"
"social and ethical issues","Healthcare"
"systems analysis","Computing & IT"
"power generation","Environment"
"Photodetectors","Energy"
"location based service","Communications"
"pollution control","Environment"
"refining","Manufacturing & Devices"
"hardware in the loop","Energy"
"environmental","Energy"
"Microprocessor","Computing & IT"
"interleving","Computing & IT"
"bioengineering","Healthcare"
"disaster planning","Environment"
"Wi-Fi","Communications"
"passive parallel energy storage","Manufacturing & Devices"
"electronics reliability in the body","Healthcare"
"bandwidth maximization","Communications"
"harvesting","Energy"
"plant engineering","Manufacturing & Devices"
"Audio","Entertainment"
"Combat Casualty Care","Defense"
"CMOS","Computing & IT"
"higher functionality implants","Healthcare"
"802 Standards","Computing & IT"
"class","Computing & IT"
"optimal traffic control","Transportation"
"Development Cost","Entertainment"
"fault accommodation","Defense"
"machine intelligence","Computing & IT"
"OCR","Computing & IT"
"recyclable materials","Environment"
"electro-mechanical","Energy"
"access","Healthcare"
"vehicle and cargo locations","Transportation"
"personal safety","Communications"
"emerging media","Computing & IT"
"wireless","Communications"
"wave propagation","Environment"
"Parallel systems","Computing & IT"
"rescue systems","Critical Infrastructure"
"Network interfaces","Computing & IT"
"voltage","Energy"
"Hardened Facilities","Defense"
"confidentiality","Communications"
"Digital Home","Entertainment"
"Planning","Retail"
"speech applications","Communications"
"lighting control","Energy"
"CRM","Retail"
"Wire Arrays","Defense"
"high voltage","Computing & IT"
"fiber-wireless","Communications"
"limited life items","Transportation"
"optical grid","Computing & IT"
"diagnosis","Healthcare"
"capital hedge risk","Energy"
"ultracapacitors","Transportation"
"MIMO","Communications"
"countermeasures","Defense"
"Infrastructure","Defense"
"ITS","Transportation"
"Secondary","Education"
"Human Resources","Defense"
"US vs world","Healthcare"
"business perspective","Manufacturing & Devices"
"underwater cables","Defense"
"scheduling","Transportation"
"Wide Area reliability","Environment"
"Pattern reconfiguration","Computing & IT"
"Rehabilitation Medicine","Healthcare"
"ladar/lidar","Transportation"
"intelligent infrastructure","Energy"
"baseband","Communications"
"optimal ramp control","Transportation"
"simulation","Environment"
"spectrum control","Defense"
"HPEM","Critical Infrastructure"
"SDK","Communications"
"alternate fuel","Transportation"
"analytics","Critical Infrastructure"
"power saving","Communications"
"Credit","Financial Services"
"cable","Energy"
"food","Healthcare"
"hydrodynamic","Energy"
"Cybersecurity","Defense"
"rapid response","Critical Infrastructure"
"home networking","Communications"
"energy recuperator","Manufacturing & Devices"
"conformance","Communications"
"commissioning","Energy"
"health management","Defense"
"Nano Technology","Defense"
"computer assisted medical decision making","Healthcare"
"self aware health systems","Healthcare"
"GPON","Communications"
"OFDM","Communications"
"point of care diagnostics","Healthcare"
"RF compatibility","Communications"
"EMI Control","Defense"
"wiring","Energy"
"pandemics","Healthcare"
"Underwater acoustics","Defense"
"Collocation","Defense"
"conservation","Energy"
"energy-aware design","Energy"
"Life Long Learning","Education"
"piezoelectric","Energy"
"agency cooperation","Healthcare"
"reconfigurable hardware","Computing & IT"
"conductors","Energy"
"safe wkshp","Critical Infrastructure"
"Flight Safety","Defense"
"space radiation effects","Defense"
"inventory control","Retail"
"Computational Biology","Computing & IT"
"biotechnology","Healthcare"
"Digital Books","Entertainment"
"Casual Games","Entertainment"
"EM Simulators","Critical Infrastructure"
"root cause","Computing & IT"
"corrosion","Transportation"
"WIMAX","Communications"
"collision avoidance","Transportation"
"condition-based maintenance","Defense"
"demand","Energy"
"Network Management","Communications"
"ecoinformatics","Environment"
"state machine","Computing & IT"
"automotive","Communications"
"mechanical stress analysis","Transportation"
"Expense","Entertainment"
"Information Technolocy","Computing & IT"
"design tools","Computing & IT"
"Electromagntic Interference and Compatibility","Defense"
"switching amplifiers","Entertainment"
"electronic information","Computing & IT"
"validation","Communications"
"Coding","Communications"
"Virus","Defense"
"Quantum computing","Computing & IT"
"power quality","Energy"
"shelter","Critical Infrastructure"
"IPTV","Communications"
"Presentation","Education"
"wearable radios","Healthcare"
"Process automation systems","Manufacturing & Devices"
"antenna packaging interaction","Communications"
"high energy density capacitors","Transportation"
"integration","Communications"
"dielectrics","Energy"
"VLSI","Computing & IT"
"surges","Energy"
"Sonobuoys","Defense"
"high throughput screening","Healthcare"
"emergency traffic administration","Transportation"
"economics","Energy"
"memory","Computing & IT"
"innovation. entrepreneurship","Manufacturing & Devices"
"Information Security","Defense"
"management recovery","Communications"
"high-temperature semiconductors","Transportation"
"Management Training","Education"
"Internet Video","Entertainment"
"cyberattack","Environment"
"narrowband","Communications"
"Post-Secondary","Education"
"mission critical","Critical Infrastructure"
"storage","Energy"
"maintenance manhours per usage time","Defense"
"continuing","Education"
"interaction design","Computing & IT"
"building simulation","Energy"
"set_top_box","Communications"
"carbon assessment","Environment"
"Outdoor Insulation","Energy"
"process failure modes and effects analysis","Manufacturing & Devices"
"ctd","Environment"
"poles","Energy"
"Forecasting","Retail"
"dynamic voltage restorer","Manufacturing & Devices"
"environmental stress screening","Manufacturing & Devices"
"statistics","Environment"
"transcutaneous power","Healthcare"
"SPD","Critical Infrastructure"
"mining","Energy"
"RF Compatibility","Defense"
"Channel","Communications"
"data analysis","Critical Infrastructure"
"Life cycle","Manufacturing & Devices"
"Delivery Mechanisms","Defense"
"AC","Energy"
"patent","Communications"
"wave power","Energy"
"ultrasound imaging","Healthcare"
"information management","Computing & IT"
"satellite arrays","Communications"
"active suspensions","Transportation"
"switching","Energy"
"manufacturing standards","Manufacturing & Devices"
"manufacturing","Energy"
"on_chip","Energy"
"ADSL","Communications"
"optimized content","Education"
"Health information systems","Computing & IT"
"process","Manufacturing & Devices"
"inclusion","Healthcare"
"Computer Gaming","Computing & IT"
"system architecture for automation manufacturing","Manufacturing & Devices"
"Image processing","Computing & IT"
"pollutants","Healthcare"
"Moving Targets","Defense"
"space commercialization","Transportation"
"Fixed Targets","Defense"
"ECCM","Communications"
"semiconductor","Energy"
"compilers","Computing & IT"
"Hyperband","Critical Infrastructure"
"Natural Language Processing","Computing & IT"
"failure modes","Defense"
"electromechanical actuators","Transportation"
"open systems","Communications"
"wideband","Communications"
"remote learning","Education"
"financing","Healthcare"
"ultrawideband antennas","Communications"
"cycle time","Manufacturing & Devices"
"Computer graphics","Computing & IT"
"Military Vehicles","Defense"
"disaster prediction","Critical Infrastructure"
"ultracapacitor","Manufacturing & Devices"
"Power Quality","Defense"
"computed radiography","Healthcare"
"HIRF","Critical Infrastructure"
"one product","Manufacturing & Devices"
"Hands On","Education"
"defects","Manufacturing & Devices"
"reverberation","Environment"
"Synchronization","Communications"
"Environment-friendly computing","Computing & IT"
"state diagram","Computing & IT"
"insulation","Energy"
"capacity building","Critical Infrastructure"
"power grid fragility","Environment"
"threat recognition","Critical Infrastructure"
"low cost","Manufacturing & Devices"
"Electrohydrodynamics","Environment"
"emc","Energy"
"magnet","Energy"
"repair","Communications"
"Non-linear effects","Critical Infrastructure"
"voltage stabilization","Manufacturing & Devices"
"international technical communication","Computing & IT"
"materials","Energy"
"Bioinformatics","Computing & IT"
"pattern analysis","Computing & IT"
"Internet Radio","Entertainment"
"Data Engineering","Computing & IT"
"open source","Computing & IT"
"information forensics","Critical Infrastructure"
"multimedia over fiber","Communications"
"Podcasting","Entertainment"
"ESD","Critical Infrastructure"
"Electromagnetic Packaging","Defense"
"hydro","Energy"
"Nonlethal weapons","Defense"
"History","Computing & IT"
"collocation","Communications"
"bin packing","Transportation"
"upgradability","Manufacturing & Devices"
"solar cells","Manufacturing & Devices"
"data structures","Computing & IT"
"burst power","Manufacturing & Devices"
"power transmission","Environment"
"transients","Energy"
"Medical data processing","Computing & IT"
"magnetics","Manufacturing & Devices"
"thermal","Energy"
"biometrics","Computing & IT"
"electric vehicles","Transportation"
"regulatory approvals","Environment"
"bidirectional battery charging","Transportation"
"capacity_planning","Energy"
"Laser Radar","Defense"
"cutting","Manufacturing & Devices"
"demand projection","Transportation"
"On-the-job","Education"
"demand-side","Energy"
"Private","Healthcare"
"social networking","Education"
"system Prognostics and Health management (PHM)","Education"
"accelerated testing","Defense"
"implantable electromagnetic devices","Healthcare"
"firewire","Communications"
"Electronic Medical Records Standards","Healthcare"
"HSE","Energy"
"antenna demonstrations","Education"
"safety hazards","Computing & IT"
"autonomous vehicles","Transportation"
"Secure coding (counterfeiting avoidance)","Retail"
"ethernet","Communications"
"hazard","Agriculture"
"operator stations","Manufacturing & Devices"
"software design","Communications"
"powerline","Communications"
"Nuclear Survivability","Defense"
"Signal processing","Computing & IT"
"IEMP","Critical Infrastructure"
"interference","Communications"
"ultrasonic cleaning","Environment"
"gait analysis","Computing & IT"
"Vehicular Control","Defense"
"Game Technology","Computing & IT"
"mobile communication","Education"
"antenna miniaturization","Defense"
"Harbor Security","Critical Infrastructure"
"Tempest / Data Security","Defense"
"scalability","Energy"
"Information Assurance","Computing & IT"
"Simulation Interoperability","Computing & IT"
"automotive radar","Transportation"
"effcient displays","Environment"
"usability engineering","Computing & IT"
"stator","Energy"
"performance metrics","Computing & IT"
"Personal Health Records","Healthcare"
"resources","Energy"
"body power systems","Healthcare"
"data logging","Critical Infrastructure"
"diagnostics","Defense"
"self_organization","Communications"
"handheld devices","Communications"
"optimal wing design","Transportation"
"hydrogen storage","Energy"
"electromagnetic compatibility","Communications"
"Search","Computing & IT"
"pulp and paper","Manufacturing & Devices"
"Self-aware systems","Education"
"Defensive Weaponry","Defense"
"relaibility","Computing & IT"
"self-aware systems","Communications"
"EMC","Defense"
"service lifetime","Agriculture"
"Human-computer Interaction","Computing & IT"
"artificial organs","Healthcare"
"nano tech","Computing & IT"
"biological sciences","Environment"
"chemical","Energy"
"information development","Computing & IT"
"EMP","Critical Infrastructure"
"sanitation","Critical Infrastructure"
"Data Storage","Computing & IT"
"buck-boost buffer","Manufacturing & Devices"
"substations","Energy"
"Defense","Critical Infrastructure"
"Unified Modeling Language","Computing & IT"
"human resources needs","Manufacturing & Devices"
"prosthetics","Healthcare"
"robotics and robots","Manufacturing & Devices"
"photodynadic therapy","Healthcare"
"Mission Critical","Defense"
"speed of new technology","Healthcare"
"EMP Hardening","Critical Infrastructure"
"Spacecraft","Defense"
"Ultra High Definition TV","Entertainment"
"circuit optimization","Communications"
"personal networks","Healthcare"
"Emission Control (EMCON)","Defense"
"shapes checking","Manufacturing & Devices"
"chemicals","Manufacturing & Devices"
"nuclear radiation effects","Defense"
"wikis","Computing & IT"
"disaster response","Critical Infrastructure"
"collaborative technologies","Defense"
"retinal scanning","Healthcare"
"plug-in hybrids","Transportation"
"exploration","Energy"
"systems of systems","Computing & IT"
"Ground Mapping","Defense"
"vulnerabilities","Energy"
"Power-aware design","Communications"
"resilience","Critical Infrastructure"
"life limited items","Defense"
"human centered","Healthcare"
"training","Healthcare"
"efficient and effective search","Computing & IT"
"Security","Defense"
"accessibility","Computing & IT"
"Ymax","Communications"
"conformal antennas","Defense"
"photoacoustics","Healthcare"
"Test Technology","Computing & IT"
"Digital Radio","Entertainment"
"time to market","Manufacturing & Devices"
"regulation","Energy"
"3D design","Healthcare"
"software testing","Computing & IT"
"Complexity reduction and abstraction","Computing & IT"
"cylclic codes","Computing & IT"
"Intelligent Agents","Computing & IT"
"car-to-car","Communications"
"cryptography","Education"
"synchronization","Education"
"water pollution","Environment"
"Navigation","Defense"
"fuzzy control","Transportation"
"LCD dispalys","Entertainment"
"information services","Computing & IT"
"frequency hopping","Communications"
"automotive power systems","Transportation"
"PET","Healthcare"
"finance","Energy"
"machines","Energy"
"Delivery Cost","Entertainment"
"software life cycle","Computing & IT"
"Real-time applications","Computing & IT"
"cultural aspects of health","Healthcare"
"Intentional EMI","Defense"
"six sigma","Defense"
"video image processing","Computing & IT"
"fuel cell vehicles","Transportation"
"cognitive","Defense"
"superconductivity","Energy"
"digital cinema","Entertainment"
"generators","Energy"
"fiber laser","Manufacturing & Devices"
"conversion","Energy"
"alternative","Energy"
"Collaborative systems","Computing & IT"
"retinal prostheses","Healthcare"
"nuclear","Energy"
"Marine Electronics","Defense"
"installation","Energy"
"congestion","Energy"
"visual design","Computing & IT"
